[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000886s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | NOTIC: [8] Undefined variable: title 6833fa2ead415a5b4ec6ad6a5c246f7d.php 第 7 行.
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ParseTemplate Behavior [ RunTime:0.011017s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011104s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ContentReplace Behavior [ RunTime:0.000407s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run TokenBuild Behavior [ RunTime:0.000760s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000305s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000522s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002181s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --START--
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Run ShowPageTrace Behavior [ RunTime:0.000544s ]
[ 2012-09-01T00:05:20+08:00 ] /xxx2/index.php/Index/index_pwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.000607s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000608s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.002767s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000428s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.002376s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.000409s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.002744s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.000492s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000683s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000762s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011821s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011925s ]
[ 2012-09-01T00:07:08+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
