[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000902s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000819s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000910s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009314s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009446s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000674s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000590s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000379s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000630s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002452s ]
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 120 行.
[ 2012-08-15T20:47:01+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx\admin\Lib\Action\LoginAction.class.php:1) View.class.php 第 121 行.
